order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD191274,ID6167344381,2019-05-01,Nickolson,"{'Toshika 750': 1, 'pearTV': 1}",10630.0,80.58693920912424,-37.8103869,144.9668321,15,9116.13,Autumn,True,0.9445,a great buy,1.0
ORD382063,ID0140980535,2019-02-10,Nickolson,"{'Alcon 10': 1, 'Universe Note': 2, 'Toshika 750': 2, 'Candle Inferno': 1}",24920.0,106.09914668697772,-37.7993831,144.9726949,15,21289.42,Summer,True,2.1564,great phone great phone at a great price.,1.0
ORD214063,ID5797758258,2019-03-31,Thompson,"{'Universe Note': 2, 'Thunder line': 2, 'Candle Inferno': 1, 'pearTV': 1}",18000.0,62.15,-37.806948799999994,144.9451511,5,17162.15,Autumn,True,0.6592,it is not unlocked it is not unlocked. i have to pay extra to unlock it. don't buy it.,0.0
ORD275535,ID4520380451,2019-01-09,Nickolson,"{'iStream': 2, 'pearTV': 1, 'Universe Note': 1, 'Thunder line': 2}",14420.0,58.19,-37.8216013,144.961298,5,13757.19,Summer,False,0.7992,"very bad received the equipment and never lit, i thought it came fully discharged and discarded with other chargers actually burnt wine team, plus it did not bring handsfree or a user's manual, i am very upset about the teasing after me to trust in you",0.0
ORD266465,ID0400753602,2019-05-19,Thompson,"{'Lucent 330S': 1, 'Candle Inferno': 2, 'Toshika 750': 2, 'pearTV': 2}",23350.0,78.97,-37.8093489,144.9369713,15,19926.47,Autumn,True,0.9620000000000001,"great and cheaper than normal! this phone is fantastic and for the price that i got it here is even more amazing. it cost almost $200 less than on olivia's website (that was by the time that i bought it, it might not be right now, stuff change price all the time.)",1.0
ORD267852,ID1459890788,2019-07-01,Bakers,"{'pearTV': 2, 'iStream': 1, 'Alcon 10': 2, 'iAssist Line': 2}",35120.0,69.48,-37.8199352,145.0128552,10,31677.48,Winter,True,1.9042,"pregunta no voy a estar en el hotel para esa fecha, como pego la oblea de devolucion?",0.0
ORD206323,ID0598401577,2019-08-15,Nickolson,"{'Lucent 330S': 2, 'Alcon 10': 2, 'pearTV': 2}",32980.0,64.69,-37.8142345,144.9637244,0,33044.69,Winter,False,0.7058,"seller is top notch the phone was nice too. unfortunately, i couldn't get my automotive app to work on the windows operating system. but i would buy from ""icellsolution"" again. the price was good, they were fast and the phone was just as advertised.",1.0
ORD398901,ID0176678055,2019-01-03,Nickolson,"{'Olivia x460': 2, 'iStream': 2, 'iAssist Line': 1, 'Candle Inferno': 2}",5835.0,60.559779830772,-37.813072999999996,144.963276,25,4434.45,Summer,False,0.826,not unlocked! i purchased this phone in august as an unlocked phone and now it is asking me for an sim card unlock code. i contacted at&t and somehow there is a account payment due. this shouldn't be happening as i purchased this phone unlocked!,0.0
ORD215655,ID1521014723,2019-12-18,Bakers,"{'iAssist Line': 1, 'Thunder line': 1, 'Olivia x460': 1, 'pearTV': 1}",11940.0,95.76,-37.8008844,144.99302230000004,5,11438.76,Summer,True,1.0327,"everything went great getting my phone everything went great getting my phone. it said gsm unlocked, but it was inf act an att phone. everything worked out great though!",1.0
ORD473047,ID2975229843,2019-08-11,Thompson,"{'Thunder line': 1, 'Lucent 330S': 1, 'iAssist Line': 2}",7860.0,82.64378157385853,-37.8003308,144.9582336,10,7157.23,Winter,True,1.6887,awesome phone for the price went from s7 to this s8 and it is incredible so far. didn't think i would like the rounded screen this much but it's awesome. phone feels and acts like it's brand new and i've had no issues after about a month.,1.0
